Roll,Filename,DateTime,Encounter,Cluster,Males,Adults,Calves,Total,GPSDateTime,Lat,Long,DatelTime...GPSTime,Year,Month,Day,Time,Hour,Min,Sec,TrueTime,Date
DSWP18,20180315_062052a,3/15/2018 6:20,1,201801001,1,1,0,2,,,,,2018,3,15,620,6,20,52,6:20:52,15/03/2018
DSWP18,20180315_064103a_Hayao,3/15/2018 6:41,1,201801002,0,1,1,2,,,,,2018,3,15,641,6,41,3,6:41:03,15/03/2018
DSWP18,20180315_064405a,3/15/2018 6:44,1,201801003,0,2,0,2,,,,,2018,3,15,644,6,44,5,6:44:05,15/03/2018
DSWP18,20180315_065817a,3/15/2018 6:58,1,201801004,0,1,1,2,,,,,2018,3,15,658,6,58,17,6:58:17,15/03/2018
DSWP18,20180315_071533a,3/15/2018 7:15,1,201801005,0,1,0,1,,,,,2018,3,15,715,7,15,33,7:15:33,15/03/2018
DSWP18,20180315_071730a_Hayao,3/15/2018 7:17,1,201801006,0,1,0,1,,,,,2018,3,15,717,7,17,30,7:17:30,15/03/2018
DSWP18,20180315_074955a_Hayao,3/15/2018 7:49,1,201801007,0,1,1,2,,,,,2018,3,15,749,7,49,55,7:49:55,15/03/2018
DSWP18,20180315_075336a,3/15/2018 7:53,1,201801008,0,1,1?,1,,,,,2018,3,15,753,7,53,36,7:53:36,15/03/2018
DSWP18,20180315_080027a_Hayao,3/15/2018 8:00,1,201801009,0,1,0,1,,,,,2018,3,15,80,8,0,27,8:00:27,15/03/2018
DSWP18,20180315_111810a,3/15/2018 11:18,1,201801010,0,1,0,1,,,,,2018,3,15,1118,11,18,10,11:18:10,15/03/2018
DSWP18,20180315_112503a,3/15/2018 11:25,1,201801011,0,1,1,2,,,,,2018,3,15,1125,11,25,3,11:25:03,15/03/2018
DSWP18,20180315_120104a,3/15/2018 12:01,1,201801012,0,1,0,1,,,,,2018,3,15,121,12,1,4,12:01:04,15/03/2018
DSWP18,20180315_124943a_Hayao,3/15/2018 12:49,1,201801013,0,1,0,1,,,,,2018,3,15,1249,12,49,43,12:49:43,15/03/2018
DSWP18,20180315_131409a,3/15/2018 13:14,1,201801014,0,1,0,1,,,,,2018,3,15,1314,13,14,9,13:14:09,15/03/2018
DSWP18,20180315_132029a,3/15/2018 13:20,1,201801015,0,1,0,1,,,,,2018,3,15,1320,13,20,29,13:20:29,15/03/2018
DSWP18,20180315_134211a,3/15/2018 13:42,1,201801016,0,2,0,2,,,,,2018,3,15,1342,13,42,11,13:42:11,15/03/2018
DSWP18,20180315_135213a_Hayao,3/15/2018 13:52,1,201801017,0,1,0,1,,,,,2018,3,15,1352,13,52,13,13:52:13,15/03/2018
DSWP18,20180315_135450a_2,3/15/2018 13:54,1,201801018,0,1,0,1,,,,,2018,3,15,1354,13,54,50,13:54:50,15/03/2018
DSWP18,20180315_140231a,3/15/2018 14:02,1,201801019,0,1,1,2,,,,,2018,3,15,142,14,2,31,14:02:31,15/03/2018
DSWP18,20180315_142506a,3/15/2018 14:25,1,201801020,0,0,1,1,,,,,2018,3,15,1425,14,25,6,14:25:06,15/03/2018
DSWP18,20180315_143127a,3/15/2018 14:31,1,201801021,0,0,1,1,,,,,2018,3,15,1431,14,31,27,14:31:27,15/03/2018
DSWP18,20180315_145102a,3/15/2018 14:51,1,201801022,1,2,1,4,,,,,2018,3,15,1451,14,51,2,14:51:02,15/03/2018
DSWP18,20180315_152302a,3/15/2018 15:23,1,201801023,1,2,1,4,,,,,2018,3,15,1523,15,23,2,15:23:02,15/03/2018
DSWP18,20180315_154553a_Hayao,3/15/2018 15:45,1,201801024,1,1,0,2,,,,,2018,3,15,1545,15,45,53,15:45:53,15/03/2018
DSWP18,20180315_170817a_Hayao,3/15/2018 17:08,1,201801025,0,2,0,2,,,,,2018,3,15,178,17,8,17,17:08:17,15/03/2018
DSWP18,20180315_172503a,3/15/2018 17:25,1,201801026,0,1,0,1,,,,,2018,3,15,1725,17,25,3,17:25:03,15/03/2018
DSWP18,20180315_173048a,3/15/2018 17:30,1,201801027,0,2,0,2,,,,,2018,3,15,1730,17,30,48,17:30:48,15/03/2018
DSWP18,20180315_173319a_Hayao,3/15/2018 17:33,1,201801028,0,1,1,2,,,,,2018,3,15,1733,17,33,19,17:33:19,15/03/2018
DSWP18,20180315_173356a,3/15/2018 17:33,1,201801027,0,1,1,2,,,,,2018,3,15,1733,17,33,56,17:33:56,15/03/2018
DSWP18,20180319_071634a,3/19/2018 7:16,3,201803001,0,2,0,2,,,,,2018,3,19,716,7,16,34,7:16:34,19/03/2018
DSWP18,20180319_071828a,3/19/2018 7:18,3,201803002,0,1,0,1,,,,,2018,3,19,718,7,18,28,7:18:28,19/03/2018
DSWP18,20180319_075025a,3/19/2018 7:50,3,201803003,0,1,0,1,,,,,2018,3,19,750,7,50,25,7:50:25,19/03/2018
DSWP18,20180319_082823a,3/19/2018 8:28,3,201803004,0,1,0,1,,,,,2018,3,19,828,8,28,23,8:28:23,19/03/2018
DSWP18,20180319_083625a,3/19/2018 8:36,3,201803005,0,0,1,1,,,,,2018,3,19,836,8,36,25,8:36:25,19/03/2018
DSWP18,20180319_085759a,3/19/2018 8:57,3,201803006,0,1,0,1,,,,,2018,3,19,857,8,57,59,8:57:59,19/03/2018
DSWP18,20180319_091924a,3/19/2018 9:19,3,201803007,0,2,0,2,,,,,2018,3,19,919,9,19,24,9:19:24,19/03/2018
DSWP18,20180319_093732a,3/19/2018 9:37,3,201803008,0,1,1,2,,,,,2018,3,19,937,9,37,32,9:37:32,19/03/2018
DSWP18,20180319_100152a,3/19/2018 10:01,3,201803009,0,0,1,1,,,,,2018,3,19,101,10,1,52,10:01:52,19/03/2018
DSWP18,20180319_102152a,3/19/2018 10:21,3,201803010,0,3,1,4,,,,,2018,3,19,1021,10,21,52,10:21:52,19/03/2018
DSWP18,20180319_103855a,3/19/2018 10:38,3,201803011,,,,0,,,,,2018,3,19,1038,10,38,55,10:38:55,19/03/2018
DSWP18,20180319_105018a,3/19/2018 10:50,3,201803012,0,2,0,2,,,,,2018,3,19,1050,10,50,18,10:50:18,19/03/2018
DSWP18,20180319_110812a,3/19/2018 11:08,3,201803013,0,1,0,1,,,,,2018,3,19,118,11,8,12,11:08:12,19/03/2018
DSWP18,20180319_110945a,3/19/2018 11:09,3,201803014,0,1,1,2,,,,,2018,3,19,119,11,9,45,11:09:45,19/03/2018
DSWP18,20180319_112139a,3/19/2018 11:21,3,201803015,0,1,1,2,,,,,2018,3,19,1121,11,21,39,11:21:39,19/03/2018
DSWP18,20180319_112220a,3/19/2018 11:22,3,201803016,0,1,0,1,,,,,2018,3,19,1122,11,22,20,11:22:20,19/03/2018
DSWP18,20180319_112251a,3/19/2018 11:22,3,201803017,0,1,1,2,,,,,2018,3,19,1122,11,22,51,11:22:51,19/03/2018
