Roll,Filename,DateTime,Encounter,Cluster,Males,Adults,Calves,total,GPSDateTime,LAT,LONG,DatelTime...GPSTime,Year,Month,Day,Time,Hour,Min,Sec,TrueTime,Date
DSWP16,20160404_133636,04/04/16 13:36:36,8,201608015,0,1,0,1,,,,,2016,4,4,1336,13,36,36,13:36:36,4/4/2016
DSWP16,20160404_135245d,04/04/16 13:52:45,8,201608016,0,1,1,2,,,,,2016,4,4,1352,13,52,45,13:52:45,4/4/2016
DSWP16,20160404_143051,04/04/16 14:30:51,8,201608017,0,1,1,2,,,,,2016,4,4,1430,14,30,51,14:30:51,4/4/2016
DSWP16,20160404_145217,04/04/16 14:52:17,8,201608018,0,1,0,1,,,,,2016,4,4,1452,14,52,17,14:52:17,4/4/2016
DSWP16,20160404_145449,04/04/16 14:54:49,8,201608019,0,1,0,1,,,,,2016,4,4,1454,14,54,49,14:54:49,4/4/2016
DSWP16,20160404_153228d,04/04/16 15:32:28,8,201608020,0,2,0,2,,,,,2016,4,4,1532,15,32,28,15:32:28,4/4/2016
DSWP16,20160404_154232c,04/04/16 15:42:32,8,201608021,0,2,1,3,,,,,2016,4,4,1542,15,42,32,15:42:32,4/4/2016
DSWP16,20160404_154406,04/04/16 15:44:06,8,201608022,0,0,1,1,,,,,2016,4,4,1544,15,44,6,15:44:06,4/4/2016
DSWP16,20160405_094318,05/04/16 09:43:18,9,201609001,0,1,1,2,,,,,2016,4,5,943,9,43,18,9:43:18,4/5/2016
DSWP16,20160405_100555,05/04/16 10:05:55,9,201609002,0,1,1,2,,,,,2016,4,5,1005,10,5,55,10:05:55,4/5/2016
DSWP16,20160405_101508,05/04/16 10:15:08,9,201609003,0,0,1,1,,,,,2016,4,5,1015,10,15,8,10:15:08,4/5/2016
DSWP16,20160405_101919,05/04/16 10:19:19,9,201609004,0,1,0,1,,,,,2016,4,5,1019,10,19,19,10:19:19,4/5/2016
DSWP16,20160405_102706,05/04/16 10:27:06,9,201609005,0,3,1,4,,,,,2016,4,5,1027,10,27,6,10:27:06,4/5/2016
DSWP16,20160405_103950c,05/04/16 10:39:50,9,201509006,0,2,0,2,,,,,2016,4,5,1039,10,39,50,10:39:50,4/5/2016
DSWP16,20160405_112401,05/04/16 11:24:01,9,201609007,0,1,1,2,,,,,2016,4,5,1124,11,24,1,11:24:01,4/5/2016
DSWP16,20160405_112836d,05/04/16 11:28:36,9,201609008,0,1,0,1,,,,,2016,4,5,1128,11,28,36,11:28:36,4/5/2016
DSWP16,20160405_122314,05/04/16 12:23:14,9,201609009,0,1,0,1,,,,,2016,4,5,1223,12,23,14,12:23:14,4/5/2016
DSWP16,20160405_165959d,05/04/16 16:59:59,9,201609010,0,1,0,1,,,,,2016,4,5,1659,16,59,59,16:59:59,4/5/2016
DSWP16,20160406_093638,06/04/16 09:36:38,12,201612001,1,0,0,1,,,,,2016,4,6,936,9,36,38,9:36:38,4/6/2016
DSWP16,20160406_095501g,06/04/16 09:55:01,12,201612002,0,1,0,1,,,,,2016,4,6,955,9,55,1,9:55:01,4/6/2016
DSWP16,20160406_100020,06/04/16 10:00:20,12,201612003,0,1,1,2,,,,,2016,4,6,1000,10,0,20,10:00:20,4/6/2016
DSWP16,20160406_101205d,06/04/16 10:12:05,12,201612004,0,1,1,2,,,,,2016,4,6,1012,10,12,5,10:12:05,4/6/2016
DSWP16,20160406_102504,06/04/16 10:25:04,12,201612005,0,0,1,1,,,,,2016,4,6,1025,10,25,4,10:25:04,4/6/2016
DSWP16,20160406_103705f,06/04/16 10:37:05,12,201612006,1,0,1,2,,,,,2016,4,6,1037,10,37,5,10:37:05,4/6/2016
DSWP16,20160406_112713,06/04/16 11:27:13,12,201612007,1,0,0,1,,,,,2016,4,6,1127,11,27,13,11:27:13,4/6/2016
DSWP16,20160406_115414d,06/04/16 11:54:14,12,201612008,0,3,2,5,,,,,2016,4,6,1154,11,54,14,11:54:14,4/6/2016
DSWP16,20160406_135150,06/04/16 13:51:50,13,201613001,0,1,0,1,,,,,2016,4,6,1351,13,51,50,13:51:50,4/6/2016
DSWP16,20160406_144515g,06/04/16 14:45:15,13,201613002,0,1,1,2,,,,,2016,4,6,1445,14,45,15,14:45:15,4/6/2016
DSWP16,20160406_145222,06/04/16 14:52:22,13,201613003,0,1,0,1,,,,,2016,4,6,1452,14,52,22,14:52:22,4/6/2016
DSWP16,20160406_150632b,06/04/16 15:06:32,13,201613004,0,1,1,2,,,,,2016,4,6,1506,15,6,32,15:06:32,4/6/2016
DSWP16,20160406_151618,06/04/16 15:16:18,13,201613005,0,1,0,1,,,,,2016,4,6,1516,15,16,18,15:16:18,4/6/2016
DSWP16,20160406_153456e,06/04/16 15:34:56,13,201613006,0,1,0,1,,,,,2016,4,6,1534,15,34,56,15:34:56,4/6/2016
DSWP16,20160406_154750,06/04/16 15:47:50,13,201613007,0,2,1,3,,,,,2016,4,6,1547,15,47,50,15:47:50,4/6/2016
DSWP16,20160406_163002,06/04/16 16:30:02,13,201613008,0,1,0,1,,,,,2016,4,6,1630,16,30,2,16:30:02,4/6/2016
DSWP16,20160406_164538,06/04/16 16:45:38,13,201613009,0,1,0,1,,,,,2016,4,6,1645,16,45,38,16:45:38,4/6/2016
DSWP16,20160406_165518,06/04/16 16:55:18,13,201613010,0,1,0,1,,,,,2016,4,6,1655,16,55,18,16:55:18,4/6/2016
DSWP16,20160407_091258,07/04/16 09:12:58,14,201614001,0,2,1,3,,,,,2016,4,7,912,9,12,58,9:12:58,4/7/2016
DSWP16,20160407_094821,07/04/16 09:48:21,14,201614002,0,1,1,2,,,,,2016,4,7,948,9,48,21,9:48:21,4/7/2016
DSWP16,20160407_100212,07/04/16 10:02:12,14,201614003,0,1,1,2,,,,,2016,4,7,1002,10,2,12,10:02:12,4/7/2016
DSWP16,20160407_104011,07/04/16 10:40:11,14,201614004,0,1,0,1,,,,,2016,4,7,1040,10,40,11,10:40:11,4/7/2016
DSWP16,20160407_105702,07/04/16 10:57:02,14,201614005,0,2,1,3,,,,,2016,4,7,1057,10,57,2,10:57:02,4/7/2016
DSWP16,20160407_110642,07/04/16 11:06:42,14,201614006,0,3,1,4,,,,,2016,4,7,1106,11,6,42,11:06:42,4/7/2016
DSWP16,20160407_112602,07/04/16 11:26:02,14,201614007,0,2,1,3,,,,,2016,4,7,1126,11,26,2,11:26:02,4/7/2016
DSWP16,20160407_115753,07/04/16 11:57:53,14,201614008,0,2,1,3,,,,,2016,4,7,1157,11,57,53,11:57:53,4/7/2016
DSWP16,20160407_120225,07/04/16 12:02:25,14,201614009,0,2,1,3,,,,,2016,4,7,1202,12,2,25,12:02:25,4/7/2016
DSWP16,20160407_121436,07/04/16 12:14:36,14,201614010,0,2,1,3,,,,,2016,4,7,1214,12,14,36,12:14:36,4/7/2016
DSWP16,20160407_125723,07/04/16 12:57:23,14,201614012,0,1,0,1,,,,,2016,4,7,1257,12,57,23,12:57:23,4/7/2016
DSWP16,20160407_130006,07/04/16 13:00:06,14,201614013,0,1,0,1,,,,,2016,4,7,1300,13,0,6,13:00:06,4/7/2016
DSWP16,20160407_130058,07/04/16 13:00:58,14,201614014,0,1,0,1,,,,,2016,4,7,1300,13,0,58,13:00:58,4/7/2016
DSWP16,20160407_130812,07/04/16 13:08:12,14,201614015,0,4,0,4,,,,,2016,4,7,1308,13,8,12,13:08:12,4/7/2016
DSWP16,20160407_131928a_2,07/04/16 13:19:28,14,201614016,0,2,0,2,,,,,2016,4,7,1319,13,19,28,13:19:28,4/7/2016
DSWP16,20160407_132232,07/04/16 13:22:32,14,201614017,0,4,0,4,,,,,2016,4,7,1322,13,22,32,13:22:32,4/7/2016
DSWP16,20160407_132646,07/04/16 13:26:46,14,201614018,0,1,1,2,,,,,2016,4,7,1326,13,26,46,13:26:46,4/7/2016
DSWP16,20160407_134055,07/04/16 13:40:55,14,201614020,0,3,1,4,,,,,2016,4,7,1340,13,40,55,13:40:55,4/7/2016
DSWP16,20160407_145957_2,07/04/16 14:59:57,14,201614022,0,2,1,3,,,,,2016,4,7,1459,14,59,57,14:59:57,4/7/2016
DSWP16,20160408_111914,08/04/16 11:19:14,16,201616001,0,1,0,1,,,,,2016,4,8,1119,11,19,14,11:19:14,4/8/2016
DSWP16,20160408_121227,08/04/16 12:12:27,16,201616002,0,1,0,1,,,,,2016,4,8,1212,12,12,27,12:12:27,4/8/2016
DSWP16,20160408_131351,08/04/16 13:13:51,16,201616003,0,1,0,1,,,,,2016,4,8,1313,13,13,51,13:13:51,4/8/2016
DSWP16,20160408_132814,08/04/16 13:28:14,16,201616004,0,1,0,1,,,,,2016,4,8,1328,13,28,14,13:28:14,4/8/2016
DSWP16,20160408_143326,08/04/16 14:33:26,16,201616006,0,1,1,2,,,,,2016,4,8,1433,14,33,26,14:33:26,4/8/2016
DSWP16,20160408_145229,08/04/16 14:52:29,16,201616007,0,1,0,1,,,,,2016,4,8,1452,14,52,29,14:52:29,4/8/2016
DSWP16,20160408_145846,08/04/16 14:58:46,16,201616008,0,2+1?,0,0,,,,,2016,4,8,1458,14,58,46,14:58:46,4/8/2016
DSWP16,20160410_112445,10/04/16 11:24:45,17,201617001,0,0,1,1,,,,,2016,4,10,1124,11,24,45,11:24:45,4/10/2016
DSWP16,20160410_115552,10/04/16 11:55:52,17,201617002,0,1,1,2,,,,,2016,4,10,1155,11,55,52,11:55:52,4/10/2016
DSWP16,20160410_120218,10/04/16 12:02:18,17,201617003,0,0,1,1,,,,,2016,4,10,1202,12,2,18,12:02:18,4/10/2016
DSWP16,20160410_130103,10/04/16 13:01:03,17,201617004,0,1,0,1,,,,,2016,4,10,1301,13,1,3,13:01:03,4/10/2016
DSWP16,20160412_104902,12/04/16 10:49:02,18,201618001,0,1,1,2,,,,,2016,4,12,1049,10,49,2,10:49:02,4/12/2016
DSWP16,20160412_111525,12/04/16 11:15:25,18,201618002,0,0,1,1,,,,,2016,4,12,1115,11,15,25,11:15:25,4/12/2016
DSWP16,20160412_112723,12/04/16 11:27:23,18,201618003,0,1,0,1,,,,,2016,4,12,1127,11,27,23,11:27:23,4/12/2016
DSWP16,20160412_113944,12/04/16 11:39:44,18,201618004,0,1,1,2,,,,,2016,4,12,1139,11,39,44,11:39:44,4/12/2016
DSWP16,20160412_115102,12/04/16 11:51:02,18,201618005,0,0,1,1,,,,,2016,4,12,1151,11,51,2,11:51:02,4/12/2016
DSWP16,20160412_120424,12/04/16 12:04:24,18,201618006,0,1,1,2,,,,,2016,4,12,1204,12,4,24,12:04:24,4/12/2016
DSWP16,20160412_120833,12/04/16 12:08:33,18,201618007,0,1,1,2,,,,,2016,4,12,1208,12,8,33,12:08:33,4/12/2016
DSWP16,20160412_121235,12/04/16 12:12:35,18,201618008,0,1,1,2,,,,,2016,4,12,1212,12,12,35,12:12:35,4/12/2016
DSWP16,20160412_123656,12/04/16 12:36:56,18,201618007,0,1,1,2,,,,,2016,4,12,1236,12,36,56,12:36:56,4/12/2016
DSWP16,20160412_133422,12/04/16 13:34:22,18,201618008,0,2,2,4,,,,,2016,4,12,1334,13,34,22,13:34:22,4/12/2016
DSWP16,20160412_143250,12/04/16 14:32:50,18,201614009,0,1,1,2,,,,,2016,4,12,1432,14,32,50,14:32:50,4/12/2016
DSWP16,20160412_143624,12/04/16 14:36:24,18,201618010,0,1,0,1,,,,,2016,4,12,1436,14,36,24,14:36:24,4/12/2016
DSWP16,20160412_152544,12/04/16 15:25:44,18,201618011,0,1,0,1,,,,,2016,4,12,1525,15,25,44,15:25:44,4/12/2016
DSWP16,20160412_161139,12/04/16 16:11:39,18,201618012,0,2,2,4,,,,,2016,4,12,1611,16,11,39,16:11:39,4/12/2016
DSWP16,20160412_162616,12/04/16 16:26:16,18,201618013,0,1,1,2,,,,,2016,4,12,1626,16,26,16,16:26:16,4/12/2016
DSWP16,20160415_083834,15/04/16 08:38:34,19,201619001,0,1,0,1,,,,,2016,4,15,838,8,38,34,8:38:34,4/15/2016
DSWP16,20160415_085519,15/04/16 08:55:19,19,201619002,0,1,0,1,,,,,2016,4,15,855,8,55,19,8:55:19,4/15/2016
DSWP16,20160415_092157,15/04/16 09:21:57,19,201619003,0,1,0,1,,,,,2016,4,15,921,9,21,57,9:21:57,4/15/2016
DSWP16,20160415_092411,15/04/16 09:24:11,19,201619004,0,1,1,2,,,,,2016,4,15,924,9,24,11,9:24:11,4/15/2016
DSWP16,20160415_092947,15/04/16 09:29:47,19,201619005,0,1,0,1,,,,,2016,4,15,929,9,29,47,9:29:47,4/15/2016
DSWP16,20160415_104437,15/04/16 10:44:37,19,201619006,0,1,0,1,,,,,2016,4,15,1044,10,44,37,10:44:37,4/15/2016
DSWP16,20160415_121347,15/04/16 12:13:47,19,201619007,0,3,1,4,,,,,2016,4,15,1213,12,13,47,12:13:47,4/15/2016
DSWP16,20160415_124149,15/04/16 12:41:49,19,201619008,0,2,1,3,,,,,2016,4,15,1241,12,41,49,12:41:49,4/15/2016
DSWP16,20160415_125030,15/04/16 12:50:30,19,201619009,0,1,0,1,,,,,2016,4,15,1250,12,50,30,12:50:30,4/15/2016
DSWP16,20160415_125514-2,15/04/16 12:55:14,19,201619010,0,5,1,6,,,,,2016,4,15,1255,12,55,14,12:55:14,4/15/2016
DSWP16,20160415_125612-2,15/04/16 12:56:12,19,201619011,0,1,0,1,,,,,2016,4,15,1256,12,56,12,12:56:12,4/15/2016
DSWP16,20160415_130210,15/04/16 13:02:10,19,201619012,0,1,0,1,,,,,2016,4,15,1302,13,2,10,13:02:10,4/15/2016
DSWP16,20160415_130607a_2,15/04/16 13:06:07,19,201619013,0,2,0,2,,,,,2016,4,15,1306,13,6,7,13:06:07,4/15/2016
DSWP16,20160415_131505-2,15/04/16 13:15:05,19,201619014,0,3,0,3,,,,,2016,4,15,1315,13,15,5,13:15:05,4/15/2016
DSWP16,20160415_140439,15/04/16 14:04:39,19,201619016,0,1,0,1,,,,,2016,4,15,1404,14,4,39,14:04:39,4/15/2016
DSWP16,20160415_142410,15/04/16 14:24:10,19,201619017,0,1,0,1,,,,,2016,4,15,1424,14,24,10,14:24:10,4/15/2016
DSWP16,20160415_152552,15/04/16 15:25:52,19,201619018,0,4,0,4,,,,,2016,4,15,1525,15,25,52,15:25:52,4/15/2016
DSWP16,20160415_152618,15/04/16 15:26:18,19,201619019,0,1,0,1,,,,,2016,4,15,1526,15,26,18,15:26:18,4/15/2016
DSWP16,20160415_163324,15/04/16 16:33:24,19,201619020,0,3,0,3,,,,,2016,4,15,1633,16,33,24,16:33:24,4/15/2016
DSWP16,20160415_165157,15/04/16 16:51:57,19,201619021,0,2,0,2,,,,,2016,4,15,1651,16,51,57,16:51:57,4/15/2016
DSWP16,20160417_135130,17/04/16 13:51:30,20,201620001,0,1,1,2,,,,,2016,4,17,1351,13,51,30,13:51:30,4/17/2016
DSWP16,20160417_135803,17/04/16 13:58:03,20,201620002,0,0,1,1,,,,,2016,4,17,1358,13,58,3,13:58:03,4/17/2016
